CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,50.0,50.0,0,0.0,1000.0,0.0
1,32.759268025386724,100.0,7,274.3668946832931,474.3668946832931,90.23403405380233
2,32.81983495661162,90.41413310528905,5,345.94759884634664,545.9475988463466,116.1636133888317
3,39.873634600396585,75.93862819441364,5,325.9806297513003,525.9806297513003,85.2361770017168
4,20.20483355960592,89.44855534858189,9,112.13465473027989,312.13465473027986,135.0
5,63.071082977796266,63.008321745656396,5,356.08961067376794,556.089610673768,101.26201225977012
6,64.11915342592839,45.74281140635074,5,118.62454374840003,318.6245437484,74.57116398450691
7,87.85588187035604,57.60808541483831,5,162.69984907963385,362.69984907963385,70.72393503489998
8,73.87467622801974,45.61836655756909,11,373.24570255901205,573.245702559012,98.68450347437734
9,10.158036798991825,16.708677930718927,4,324.81644952360733,524.8164495236074,85.97766986413468
10,4.091928270020624,19.356432217076986,6,424.611705247089,624.611705247089,102.85200889365765
11,9.595477145055602,12.682514535687497,9,328.80644615017167,528.8064461501717,98.5182772423238
12,9.584797921949683,34.12223387870964,6,284.1543016677358,484.1543016677358,88.6890795721763
13,5.673388969440607,76.04050528793451,10,46.837383914046235,246.83738391404623,74.75771307476872
14,14.033810337851836,74.4091780777833,4,183.85790152971677,383.85790152971674,62.732749955654434
15,7.896997166867501,67.02091333869576,4,132.60118384086272,332.60118384086275,81.96273086279362
16,0.0,88.58622693618474,7,121.9948216895418,321.9948216895418,105.41517829782251
17,67.49616697427498,72.52094059150426,8,486.5052773762228,686.5052773762228,93.85368739434367
18,58.95501835043847,67.79622082371166,11,196.5488623333802,396.5488623333802,67.57670198318422
19,45.326281270646604,63.60881569565747,3,446.02327758855665,646.0232775885567,93.11725666532128
20,55.505113464723,81.37848004179371,2,315.56931299863146,515.5693129986314,96.93571283511906
